# glossary.tsv: terminology for /home/muk/work/translate. The source of truth for term renderings.
# Format: tab-separated; `|` separates alternatives (the first is preferred); `#` lines are comments.
# Columns: en, zh, banned_en (never write these in English output), banned_zh (never in Chinese output),
#   domain (general | ai4research | dsh), status (approved | pending), evidence (file:line refs, or user-draft / standard), note.
# Agents: APPEND new rows with status=pending; never reorder, and never flip a row to approved yourself. A human approves.
# DSH repo terms live in deepseek-harness/docs/i18n/terminology.md; don't copy them here.
en	zh	banned_en	banned_zh	domain	status	evidence	note
idempotent|idempotency	幂等|幂等性			general	approved	user-draft	repeat-safe, not side-effect-free
idempotency key	幂等键			general	approved	user-draft	
eventual consistency	最终一致性	asynchronous consistency	异步一致性	general	approved	user-draft	a named consistency model
linearizability|linearizable	线性一致性|线性一致	strong consistency|sequential consistency	强一致性|顺序一致性	general	approved	user-draft	strictly stronger than sequential consistency
race condition	竞态条件|竞态			general	approved	user-draft	
backpressure	背压|反压	rate limit|throttling	限流|速率限制	general	approved	user-draft	consumer signals producer to slow down
rate limit|rate limiting	速率限制|限流|限速	backpressure	背压|反压	general	approved	user-draft	a cap on request rate
retryable	可重试			general	approved	user-draft	
at-least-once delivery|at least once	至少一次投递|至少一次	retried until it succeeds|guaranteed delivery	重试直到成功	general	approved	user-draft	duplicates possible
exactly-once processing|exactly once	恰好一次处理|精确一次处理|恰好一次	processed only once	只处理一次	general	approved	user-draft	
thread-safe|thread safety	线程安全	reentrant|reentrancy	可重入	general	approved	user-draft	not equivalent to reentrant
reentrant|reentrancy	可重入|可重入性	thread-safe|thread safety	线程安全	general	approved	user-draft	not equivalent to thread-safe
authentication|authenticate	认证|身份验证|身份认证	authorization|authorize	授权	general	approved	user-draft	who you are
authorization|authorize	授权	authentication|authenticate	认证|身份验证	general	approved	user-draft	what you may do; 鉴权 is ambiguous, mark it
release	发布	deployment|deploy	部署	general	approved	user-draft	a versioned artifact; 发布 may also mean publish
deployment|deploy	部署	release	发布|上线	general	approved	user-draft	putting a build into an environment
go live	上线	deploy|deployment	部署	general	approved	standard	becoming user-visible; 'launch' also fine, not listed because it matches too much English
latency	延迟|时延	response time	响应时间	general	approved	user-draft	
response time	响应时间	latency	延迟|时延	general	approved	user-draft	includes service time
process	进程	thread	线程	general	approved	user-draft	OS process only; process meaning procedure is 流程, and 进程 can mean course of events: override with [TN]
thread	线程	process	进程	general	approved	user-draft	
middleware	中间件	intermediary	中介	general	approved	user-draft	a software layer
intermediary	中介|中间方	middleware	中间件	general	approved	user-draft	a role
interface	接口	user interface|UI	界面	general	approved	standard	界面 is UI
roll back|rollback	回滚			general	approved	standard	undo a deployment or transaction; for a VCS commit, revert (还原提交) is also correct
schedule|scheduler|scheduling	调度	orchestrate|orchestration	编排	general	approved	standard	when/where one unit runs
orchestrate|orchestration|orchestrator	编排	schedule|scheduling	调度	general	approved	standard	coordinating many units
concurrency|concurrent	并发	parallelism|parallel	并行	general	approved	standard	interleaved progress; not necessarily simultaneous
parallelism|parallel	并行	concurrency|concurrent	并发	general	approved	standard	simultaneous execution
throughput	吞吐量|吞吐	bandwidth	带宽	general	approved	standard	work per unit time
deadlock	死锁	livelock	活锁	general	approved	standard	
immutable	不可变	read-only	只读	general	approved	standard	cannot change at all vs cannot be written through this handle
read-only	只读	immutable	不可变	general	approved	standard	
real-time|near-real-time	实时	hard real-time	硬实时	general	approved	standard	say real-time only with a stated latency bound; 'live' is fine too (zh-en-traps §4)
capability capsule|capsule	胶囊	capsule pill|capsule module		ai4research	approved	AI4Research/docs/CAPSULE_ARCHITECTURE.md:21; AI4Research/harness/schemas/draft/capability-capsule.v1.draft.json:22 (capability_capsule_id); notes/07-capability-capsules.md:8	能力胶囊 occurs nowhere in the repo; sources write Capsule（胶囊）
capability atom	能力原子	capability unit		ai4research	pending	AI4Research/docs/CAPSULE_ARCHITECTURE.md:3,21; notes/11-capsule-architecture-digest-en.md:22; notes/07-capability-capsules.md:9 (unit of capability)	notes disagree; 11 keeps the source's atomic metaphor (原子胶囊, 最小能力单元 :713)
self-contained closed loop	自闭环	self-closing		ai4research	pending	AI4Research/docs/CAPSULE_ARCHITECTURE.md:21; notes/11-capsule-architecture-digest-en.md:46 (self-closing); notes/07-capability-capsules.md:8 (self-contained)	notes disagree: self-closing is unidiomatic, self-contained drops the loop; owner decides
boundary-explicit|clear boundaries	边界清晰			ai4research	approved	AI4Research/docs/CAPSULE_ARCHITECTURE.md:21; notes/07-capability-capsules.md:8; notes/11-capsule-architecture-digest-en.md:46	边界模糊 (:13) = fuzzy boundaries
formally verifiable	可形式化验证	formally verified		ai4research	approved	AI4Research/docs/CAPSULE_ARCHITECTURE.md:21; notes/11-capsule-architecture-digest-en.md:46	-able claim about an unbuilt phase; never render as achieved (FM-9)
safety	安全性	boundaries are verifiable		ai4research	approved	AI4Research/docs/CAPSULE_ARCHITECTURE.md:29 (**S**afety - 安全性可验证); notes/11-capsule-architecture-digest-en.md:57; notes/07-capability-capsules.md:24 (wrong)	SCARE S, source English fixes it; outside SCARE 安全 may mean security: decide from context
